,미학,의식,발견,전후,소설,이데올로기,전쟁,공간,구조,주체,체험,역사,근대,비평,의미,사회,수용,현실,형상화,시간,비판,자유,사랑,극복,1950년대,여성,인물,죽음,인식,이념,방식,추구,욕망,자아,인간,의지,현실 인식,서술,국문,형식,문화,서사,서사 구조,김수영,정신,저항,가족,부정,1960년대,연극,영화,분석,관계,생명,대립,갈등,대중,변화,양식,형성,배경,개념,예술,담론,언어,해체,사상,작품,지향,서정,현대,전통,기독교,1920년대,1930년대,자연,세계,이미지,비교,창작,식민지,고향,민족,근대성,모더니즘,시학,성격,상상력,시대,작가,유형,텍스트,구성,존재,탐색,이상,현대시,1970년대,도시,재현
문화,0.01187894301009159,0.08413332820838082,0.0,0.008217367246872645,0.0020245914943300245,0.010137578562454556,0.008908143346077318,0.0561940833097521,0.07620487678801334,0.02347068384668117,0.0,0.0,0.027315562887592425,0.026542749806160233,0.0,0.0,0.02408667818438979,0.0,0.02656930945308037,0.01013349897133282,0.016343009006912372,0.014049179768324739,0.09023764370048311,0.04809598000872762,0.0,0.013709336942419055,0.0,0.0,0.03878199739020345,0.02776028332743274,0.005922525195098921,0.1077592296313467,0.029669378798588057,0.09907463895985454,0.010487837211693177,0.05580240027914567,0.03159716086807197,0.00792863173331801,0.04703150462454091,0.0,1.0,0.0,0.018341843059197,0.05892720442518898,0.0026307731129505485,0.038573345911419046,0.0,0.013383555357484976,0.0,0.09381152743281403,0.0,0.010016378939994025,0.05115846089916931,0.0,0.0,0.018210116847801373,0.10983853214926557,0.09388040323838226,0.0,0.0,0.02395386690727649,0.08270170805388047,0.047295438919390594,0.07355455366833852,0.0,0.0070288753842308845,0.09117121656354052,0.04341889370513333,0.10331299306420383,0.06404693064098851,0.018915354247817047,0.038131217366568236,0.0067402647808231,0.015413040290596812,0.1170598199121303,0.08846497499514036,0.01189555302370434,0.014217994978468318,0.024019946371135786,0.0014925964565703678,0.0,0.0,0.0,0.010475668514335713,0.02124679313620751,0.026392079072972953,0.05298782620615166,0.0,0.006370809626089945,0.17421877871932825,0.05315191957531985,0.0,0.06505440876313212,0.0,0.010604326493571304,0.023650231369605385,0.1300030739375833,0.0,0.0,0.0
서사,0.0,0.024396204405287347,0.0,0.0,0.0,0.28232962903556114,0.0,0.0,0.0,0.01344132514506772,0.0,0.0,0.0,0.0,0.0,0.0,0.09701971041871735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03836287255685676,0.0,0.0,0.0,0.014230520923848251,0.0,0.0,0.0,0.029535174665774728,0.0,0.0,0.03229131420932455,0.0,0.0,0.18386315724380778,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007183276069435875,0.0,0.0,0.0,0.0,0.019798986700753998,0.0,0.0,0.0,0.0,0.027444660448023135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09991929489122298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018739628653069038,0.0,0.0,0.006567731968159535,0.0,0.05216504716563105,0.0,0.0
서사 구조,0.0,0.039870888071103616,0.030206046872620674,0.0,0.0,0.0,0.0,0.0,0.0,0.006300837295115346,0.0,0.0,0.0,0.0,0.0,0.0,0.03981037939205946,0.0,0.0031900886625337815,0.035235202894755895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04101613123865154,0.0,0.08743120641383441,0.0,0.0,0.0,0.0,0.0,0.02000943254633297,0.0,0.018341843059197,0.0,1.0,0.04949925950369239,0.009147464727347697,0.05552097396871526,0.0,0.0,0.0,0.0,0.0,0.0,0.038146155760556764,0.0,0.0,0.0,0.0,0.019523275659670013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24026007896961182,0.0,0.04047920971243753,0.0,0.0,0.0,0.0,0.0,0.0,0.007414021355128138,0.0,0.0,0.0,0.0,0.010838718196534293,0.0,0.0,0.0,0.0,0.0,0.010024460661929269,0.0,0.0,0.0,0.0,0.05593602149635713,0.34406608183529874,0.017666307255998145,0.0,0.0,0.02417934885612003,0.021940511653310384,0.0,0.0,0.0
김수영,0.027498298194602866,0.04226077432077428,0.0,0.0051303354380645,0.050307120306358755,0.007966969605937744,0.0027808032744996306,0.0,0.0,0.13699390382945106,0.06793878972986633,0.007428671715021033,0.034742374553771514,0.0,0.03532424586982995,0.0014062397435168827,0.06794463930058536,0.21164941257947562,0.036793074647909575,0.0021935505306823894,0.019815794928189415,0.07848999651734762,0.05375458590604912,0.09552003313711266,0.007775609163195673,0.1142905665849999,0.05998256045347371,0.018226349460716548,0.0,0.05123816176873682,0.028888724498150477,0.01156651157760701,0.06572654051535846,0.0613763391696472,0.0,0.06370575837520845,0.008250035968100321,0.05662681841977221,0.1180577026879856,0.0,0.05892720442518898,0.0,0.04949925950369239,0.9999999999999994,0.23381074669311017,0.06476156796534482,0.024403960496960142,0.031383949161014356,0.021305528865579175,0.16688993526182297,0.03715339512141854,0.11454114893759562,0.09129285149685525,0.08176420620845848,0.05390037287757325,0.07445460397375384,0.014426534622348096,0.16946741248797997,0.0,0.042177167021616786,0.03130523161991751,0.023775184399527197,0.004674291425062228,0.011266530665055985,0.016947955367626808,0.0008565131447111741,0.0330590019564155,0.0,0.0,0.0,0.0039000483842206346,0.011895717106513428,0.03244221694350169,0.05196354500345555,0.04950053138532206,0.026833790465202408,0.008989927875248509,0.008154934107049367,0.02661514088464055,0.08744880680617328,0.019539345060342127,0.04010145369397087,0.025253223910698206,0.02544992293371068,0.01937386270820318,0.039172407887482455,0.017578233972709155,0.017925168824139796,0.03451636787036312,0.0,0.0,0.08072061667188414,0.0669731529579198,0.004618535455925871,0.012532452866333737,0.07262502547020577,0.036665660607519766,0.08129714059488972,0.028446092725313517,0.06395344480720297
정신,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13285216058040186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026307731129505485,0.0,0.009147464727347697,0.23381074669311017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006442578973077545,0.05654832991906052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079338560529302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06464697410351775,0.0,0.0,0.0,0.0
저항,0.023551582019016325,0.024629468622064492,0.024456863034016448,0.03608843893995044,0.0,0.03298376837963076,0.05868320915112793,0.029754320330434385,0.028485653751318007,0.02182086859974775,0.0,0.0,0.06024382186608057,0.0,0.11087161089830382,0.0,0.04620789465830502,0.09565090033151291,0.03976633877620289,0.005673060980991851,0.0,0.03366458181010758,0.0,0.030745562520427885,0.0,0.04219987362788643,0.0,0.0,0.0,0.07154578711537463,0.013119306269192834,0.022245066050118854,0.07559412180100301,0.0,0.0,0.0,0.0,0.0,0.009087169240081308,0.026479879417143127,0.038573345911419046,0.0,0.05552097396871526,0.06476156796534482,0.0,1.0000000000000002,0.061560552811895194,0.03459862700110224,0.1160971444210255,0.0,0.04026072358383718,0.01404714839916804,0.019863549886243538,0.0,0.0,0.06897686667662478,0.0,0.10764672898464162,0.03642688795797409,0.03949494704505407,0.019850470853259552,0.1062146548106303,0.027122425717822463,0.03459363604559887,0.0,0.025129744094700306,0.05104665574984567,0.032774712024950955,0.04995748948472428,0.0,0.0,0.0,0.012587769205263055,0.0335621516862601,0.03633175525100657,0.005991908053168275,0.04522641468697022,0.01000696943903833,0.026210472364680305,0.02529844263391172,0.0,0.0,0.0,0.039824256250503134,0.0,0.07701951363854327,0.07662108709469992,0.0,0.029921335320945795,0.0,0.022110977222671992,0.06760578019697766,0.19822893612125012,0.0,0.010264969407941027,0.08416078235698485,0.030921932810089203,0.0,0.0,0.0
가족,0.0,0.005183322632931995,0.0,0.0,0.0,0.002550494446116967,0.0,0.0,0.0,0.09205932024526177,0.009130089345676953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008732963035031256,0.0,0.0,0.0,0.0,0.0,0.0,0.021161626731108184,0.0,0.0,0.0,0.0,0.018786923235177277,0.0,0.0,0.005983263836883171,0.0,0.019381979705669697,0.0,0.0,0.13770786722898357,0.0,0.0,0.0,0.0,0.024403960496960142,0.0,0.061560552811895194,1.0000000000000002,0.0,0.0,0.02482315503387807,0.0,0.0,0.025693204928417503,0.0,0.0,0.0,0.0,0.01284030280146143,0.0,0.0,0.0,0.0,0.0,0.011145688954751895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07337575404068475,0.18950799175195981,0.0,0.0,0.0,0.0,0.0,0.006928841310832407,0.0,0.0,0.0,0.0,0.0,0.0,0.031785550749482146,0.0,0.15623595260298412,0.06552432772592111,0.03791284355616374,0.0,0.0,0.0
부정,0.2112916364223621,0.14276931613370142,0.0,0.01887970436907033,0.0,0.011803013802096413,0.010233393969050588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15425114543083152,0.17014593966040092,0.025366110376294382,0.0,0.0,0.06185709440340116,0.0,0.0,0.05054962673013017,0.05534872267761445,0.38505881845043644,0.09486811774444158,0.0,0.0,0.0,0.052938053454681756,0.0,0.0,0.0,0.011206411421938083,0.0,0.0794301711766561,0.0,0.0,0.015942592546705835,0.09053693272116631,0.013383555357484976,0.0,0.0,0.031383949161014356,0.0,0.03459862700110224,0.0,1.0,0.0,0.024179085858047525,0.0,0.0,0.08467250892254781,0.0,0.0,0.0,0.0,0.033898155353601106,0.0,0.0,0.0,0.01665130259852292,0.0,0.0,0.0,0.0,0.049474833905197135,0.32722012144188245,0.03830964302642883,0.0,0.0,0.0,0.0,0.0,0.10451473443637313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055320538067364165,0.021568897247522475,0.0,0.0,0.0,0.0434473446516765,0.0,0.0343925379846004,0.0,0.0,0.02749350200779022,0.0,0.0,0.0,0.0
1960년대,0.0,0.012706215222522492,0.0,0.06269843749918613,0.0,0.10433409257110088,0.23739324832521547,0.0,0.0,0.04199265926859251,0.0,0.0,0.07168544602727359,0.0,0.03026586037673908,0.1676826567347466,0.014171171502352174,0.0,0.052411819950202894,0.0,0.0,0.04237611044965262,0.0,0.11466112600854891,0.0,0.0,0.0,0.0,0.0,0.015534528309656903,0.0,0.0,0.029356105821662357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021305528865579175,0.0,0.1160971444210255,0.0,0.0,1.0,0.0,0.0,0.0,0.04163172046149756,0.12234922352060024,0.03850063453327184,0.0,0.0,0.018931539394205985,0.0,0.07689542987513477,0.0,0.07028219358187504,0.0,0.0,0.0,0.09856945479161233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012859763084236878,0.05014250723866662,0.0,0.0,0.0,0.10153758171592399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18654618125355343,0.0,0.021261763001106146,0.0,0.0,0.0,0.13342365044628984,0.0,0.0,0.06458412703092997,0.0,0.0,0.0,0.0
연극,0.0,0.021427158493749602,0.0,0.0,0.0,0.0016722717584269037,0.0,0.0,0.0,0.00927648749413259,0.027214197317081544,0.0,0.038860210299290134,0.0,0.0,0.0,0.0,0.0,0.005725904431237929,0.0,0.004985483898824023,0.0,0.0,0.03364602931877761,0.0,0.01387495306985708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09029032689360732,0.004590391133562653,0.09381152743281403,0.0,0.0,0.16688993526182297,0.0,0.0,0.02482315503387807,0.024179085858047525,0.0,1.0,0.0,0.0,0.003144640726044494,0.0,0.03074379091705488,0.0,0.0,0.030257708455343472,0.030279452130849014,0.0,0.07003136082913015,0.0,0.0,0.01287603163206656,0.0,0.0,0.08996512616498213,0.0,0.0,0.0,0.008724602295312486,0.03714673754327758,0.0,0.0,0.0,0.0,0.011598154664630433,0.0,0.02095174470137404,0.006079094682179765,0.0,0.0,0.0,0.0,0.0,0.004453063074180938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012466131180473097,0.006958432283336093,0.020836414127196282,0.0,0.0
영화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035016858280918904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566595754127795,0.0,0.0,0.0,0.05011913930046941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13228483618470452,0.0,0.0,0.0,0.0,0.0,0.03715339512141854,0.0,0.04026072358383718,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.03770504451865127,0.0,0.0,0.0,0.0,0.13661773884736875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06489735409653034,0.26068629846886415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171100198138198,0.0,0.0,0.0,0.0
분석,0.0,0.0,0.009816663557137232,0.0,0.0,0.0,0.0,0.0,0.0,0.029262133267429297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015782575060436083,0.0838275273143509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010531834403175871,0.09656633365511001,0.09805857279558132,0.04607131413378455,0.013745272048505602,0.006917318991253348,0.0,0.02246965775418488,0.0,0.0,0.010016378939994025,0.0,0.0,0.11454114893759562,0.0,0.01404714839916804,0.0,0.0,0.0,0.0,0.0,1.0,0.00957120418862559,0.0,0.0,0.0,0.0,0.01189613385431049,0.0,0.0,0.0,0.01742501928858887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011697656116000469,0.0,0.0,0.02085415231435468,0.0,0.0,0.0,0.007080916736063344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06979620220050914,0.0,0.0,0.0,0.0
